State,Single Brackets,Single Rates,MFJ Brackets,MFJ Rates,Single Standard Deduction,MFJ Standard Deduction,,,,,,,
AL,500,0.020,1000,0.020,3000,8500,,,,,,,
AL,3000,0.040,6000,0.040,3000,8500,,,,,,,
AL,1000000000,0.050,1000000000,0.050,3000,8500,,,,,,,
AK,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
AZ,1000000000,0.025,1000000000,0.025,15000,30000,,,,,,,
AR,4500,0.020,4500,0.020,2410,4820,,,,,,,
AR,1000000000,0.039,1000000000,0.039,2410,4820,,,,,,,
CA,10756,0.010,21512,0.010,5540,11080,,,,,,,
CA,25499,0.020,50998,0.020,5540,11080,,,,,,,
CA,40245,0.040,80490,0.040,5540,11080,,,,,,,
CA,55866,0.060,111732,0.060,5540,11080,,,,,,,
CA,70606,0.080,141732,0.080,5540,11080,,,,,,,
CA,360659,0.093,721318,0.093,5540,11080,,,,,,,
CA,432787,0.103,865574,0.103,5540,11080,,,,,,,
CA,721314,0.113,1000000,0.113,5540,11080,,,,,,,
CA,1000000,0.123,1442628,0.123,5540,11080,,,,,,,
CA,1000000000,0.133,1000000000,0.133,5540,11080,,,,,,,
CO,1000000000,0.044,1000000000,0.044,15000,30000,,,,,,,
CT,10000,0.020,20000,0.020,0,0,,,,,,,
CT,50000,0.045,100000,0.045,0,0,,,,,,,
CT,100000,0.055,200000,0.055,0,0,,,,,,,
CT,200000,0.060,400000,0.060,0,0,,,,,,,
CT,250000,0.065,500000,0.065,0,0,,,,,,,
CT,500000,0.069,1000000,0.069,0,0,,,,,,,
CT,1000000000,0.070,1000000000,0.070,0,0,,,,,,,
DE,5000,0.022,5000,0.022,3250,6500,,,,,,,
DE,10000,0.039,10000,0.039,3250,6500,,,,,,,
DE,20000,0.048,20000,0.048,3250,6500,,,,,,,
DE,25000,0.052,25000,0.052,3250,6500,,,,,,,
DE,60000,0.056,60000,0.056,3250,6500,,,,,,,
DE,1000000000,0.066,1000000000,0.066,3250,6500,,,,,,,
FL,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
GA,1000000000,0.054,1000000000,0.054,12000,24000,,,,,,,
HI,9600,0.014,19200,0.014,4400,8800,,,,,,,
HI,14400,0.032,28800,0.032,4400,8800,,,,,,,
HI,19200,0.055,38400,0.055,4400,8800,,,,,,,
HI,24000,0.064,48000,0.064,4400,8800,,,,,,,
HI,36000,0.068,72000,0.068,4400,8800,,,,,,,
HI,48000,0.072,96000,0.072,4400,8800,,,,,,,
HI,125000,0.076,250000,0.076,4400,8800,,,,,,,
HI,175000,0.079,350000,0.079,4400,8800,,,,,,,
HI,225000,0.083,450000,0.083,4400,8800,,,,,,,
HI,275000,0.090,550000,0.090,4400,8800,,,,,,,
HI,325000,0.100,650000,0.100,4400,8800,,,,,,,
HI,1000000000,0.110,1000000000,0.110,4400,8800,,,,,,,
ID,1000000000,0.057,1000000000,0.057,15000,30000,,,,,,,
IL,1000000000,0.050,1000000000,0.050,0,0,,,,,,,
IN,1000000000,0.030,1000000000,0.030,0,0,,,,,,,
IA,1000000000,0.038,1000000000,0.038,0,0,,,,,,,
KS,23000,0.052,46000,0.052,3605,8240,,,,,,,
KS,1000000000,0.056,1000000000,0.056,3605,8240,,,,,,,
KY,1000000000,0.040,1000000000,0.040,3270,6540,,,,,,,
LA,1000000000,0.030,1000000000,0.030,12500,25000,,,,,,,
ME,26800,0.058,53600,0.058,15000,30000,,,,,,,
ME,63450,0.068,126900,0.068,15000,30000,,,,,,,
ME,1000000000,0.072,1000000000,0.072,15000,30000,,,,,,,
MD,1000,0.020,1000,0.020,2700,5450,,,,,,,
MD,2000,0.030,2000,0.030,2700,5450,,,,,,,
MD,3000,0.040,3000,0.040,2700,5450,,,,,,,
MD,100000,0.048,150000,0.048,2700,5450,,,,,,,
MD,125000,0.050,175000,0.050,2700,5450,,,,,,,
MD,150000,0.053,225000,0.053,2700,5450,,,,,,,
MD,250000,0.055,300000,0.055,2700,5450,,,,,,,
MD,1000000000,0.058,1000000000,0.058,2700,5450,,,,,,,
MA,1083150,0.050,1083150,0.050,0,0,,,,,,,
MA,1000000000,0.090,1000000000,0.090,0,0,,,,,,,
MI,1000000000,0.043,1000000000,0.043,0,0,,,,,,,
MN,32570,0.054,47620,0.054,14950,29900,,,,,,,
MN,106990,0.068,189180,0.068,14950,29900,,,,,,,
MN,198630,0.079,330410,0.079,14950,29900,,,,,,,
MN,1000000000,0.099,1000000000,0.099,14950,29900,,,,,,,
MS,1000000000,0.044,1000000000,0.044,2300,4600,,,,,,,
MO,2626,0.020,2626,0.020,15000,30000,,,,,,,
MO,3939,0.025,3939,0.025,15000,30000,,,,,,,
MO,5252,0.030,5252,0.030,15000,30000,,,,,,,
MO,6565,0.035,6565,0.035,15000,30000,,,,,,,
MO,7878,0.040,7878,0.040,15000,30000,,,,,,,
MO,9191,0.045,9191,0.045,15000,30000,,,,,,,
MO,1000000000,0.047,1000000000,0.047,15000,30000,,,,,,,
MT,21100,0.047,42200,0.047,15000,30000,,,,,,,
MT,1000000000,0.059,1000000000,0.059,15000,30000,,,,,,,
NE,4030,0.025,8040,0.025,8600,17200,,,,,,,
NE,24120,0.035,48250,0.035,8600,17200,,,,,,,
NE,38870,0.050,77730,0.050,8600,17200,,,,,,,
NE,1000000000,0.052,1000000000,0.052,8600,17200,,,,,,,
NV,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
NH,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
NJ,20000,0.014,20000,0.014,0,0,,,,,,,
NJ,35000,0.018,50000,0.018,0,0,,,,,,,
NJ,40000,0.035,70000,0.025,0,0,,,,,,,
NJ,75000,0.055,80000,0.035,0,0,,,,,,,
NJ,500000,0.064,150000,0.055,0,0,,,,,,,
NJ,1000000,0.090,500000,0.064,0,0,,,,,,,
NJ,1000000000,0.108,1000000,0.090,0,0,,,,,,,
NJ,,,1000000000,0.108,0,0,,,,,,,
NM,5500,0.015,8000,0.015,15000,30000,,,,,,,
NM,16500,0.032,25000,0.032,15000,30000,,,,,,,
NM,33500,0.043,50000,0.043,15000,30000,,,,,,,
NM,66500,0.047,100000,0.047,15000,30000,,,,,,,
NM,210000,0.049,315000,0.049,15000,30000,,,,,,,
NM,1000000000,0.059,1000000000,0.059,15000,30000,,,,,,,
NY,8500,0.040,17150,0.040,8000,16050,,,,,,,
NY,11700,0.045,23600,0.045,8000,16050,,,,,,,
NY,13900,0.053,27900,0.053,8000,16050,,,,,,,
NY,80650,0.055,161550,0.055,8000,16050,,,,,,,
NY,215400,0.060,323200,0.060,8000,16050,,,,,,,
NY,1077550,0.069,2155350,0.069,8000,16050,,,,,,,
NY,5000000,0.097,5000000,0.097,8000,16050,,,,,,,
NY,25000000,0.103,25000000,0.103,8000,16050,,,,,,,
NY,1000000000,0.109,1000000000,0.109,8000,16050,,,,,,,
NC,48475,0.043,80975,0.043,12750,25500,,,,,,,
ND,244825,0.020,298075,0.020,15000,30000,,,,,,,
ND,1000000000,0.025,1000000000,0.025,15000,30000,,,,,,,
OH,100000,0.028,100000,0.028,0,0,,,,,,,
OH,1000000000,0.035,1000000000,0.035,0,0,,,,,,,
OK,1000,0.003,2000,0.003,6350,12700,,,,,,,
OK,2500,0.008,5000,0.008,6350,12700,,,,,,,
OK,3750,0.018,7500,0.018,6350,12700,,,,,,,
OK,4900,0.028,9800,0.028,6350,12700,,,,,,,
OK,7200,0.038,14400,0.038,6350,12700,,,,,,,
OK,1000000000,0.048,1000000000,0.048,6350,12700,,,,,,,
OR,4400,0.048,8800,0.048,2800,5600,,,,,,,
OR,11050,0.068,22100,0.068,2800,5600,,,,,,,
OR,125000,0.088,250000,0.088,2800,5600,,,,,,,
OR,1000000000,0.099,1000000000,0.099,2800,5600,,,,,,,
PA,1000000000,0.031,1000000000,0.031,0,0,,,,,,,
RI,79900,0.038,79900,0.038,10900,21800,,,,,,,
RI,181650,0.048,181650,0.048,10900,21800,,,,,,,
RI,1000000000,0.060,1000000000,0.060,10900,21800,,,,,,,
SC,3560,0.000,3560,0.000,15000,30000,,,,,,,
SC,17830,0.030,17830,0.030,15000,30000,,,,,,,
SC,1000000000,0.062,1000000000,0.062,15000,30000,,,,,,,
SD,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
TN,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
TX,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
UT,1000000000,0.046,1000000000,0.046,900,1800,,,,,,,
VT,47900,0.034,79950,0.034,7400,14850,,,,,,,
VT,116000,0.066,193300,0.066,7400,14850,,,,,,,
VT,242000,0.076,294600,0.076,7400,14850,,,,,,,
VT,1000000000,0.088,1000000000,0.088,7400,14850,,,,,,,
VA,3000,0.020,3000,0.020,8500,17000,,,,,,,
VA,5000,0.030,5000,0.030,8500,17000,,,,,,,
VA,17000,0.050,17000,0.050,8500,17000,,,,,,,
VA,1000000000,0.058,1000000000,0.058,8500,17000,,,,,,,
WA,1000000000,0.070,1000000000,0.070,270000,270000,,,,,,,
WV,10000,0.022,10000,0.022,0,0,,,,,,,
WV,25000,0.030,25000,0.030,0,0,,,,,,,
WV,40000,0.033,40000,0.033,0,0,,,,,,,
WV,60000,0.044,60000,0.044,0,0,,,,,,,
WV,1000000000,0.048,1000000000,0.048,0,0,,,,,,,
WI,14680,0.035,19580,0.035,13560,25110,,,,,,,
WI,29370,0.044,39150,0.044,13560,25110,,,,,,,
WI,323290,0.053,431060,0.053,13560,25110,,,,,,,
WI,1000000000,0.077,1000000000,0.077,13560,25110,,,,,,,
WY,1000000000,0.000,1000000000,0.000,0,0,,,,,,,
DC,10000,0.040,10000,0.040,15000,30000,,,,,,,
DC,40000,0.060,40000,0.060,15000,30000,,,,,,,
DC,60000,0.065,60000,0.065,15000,30000,,,,,,,
DC,250000,0.085,250000,0.085,15000,30000,,,,,,,
DC,500000,0.093,500000,0.093,15000,30000,,,,,,,
DC,1000000,0.098,1000000,0.098,15000,30000,,,,,,,
DC,1000000000,0.108,1000000000,0.108,15000,30000,,,,,,,
